valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.508,2018,0.0945,Selena Gomez,0.601,207905,0.724,0,4hQ6UGyWQIGJmHSo0J88JW,1.68e-06,6,0.12,-4.856,1,Back To You - From 13 Reasons Why – Season 2 Soundtrack,74,2018-05-10,0.0486,102.061
0.405,2013,0.613,Troye Sivan,0.481,187195,0.179,0,6LteLVcW0oWLjuW6nePyWb,2.84e-05,3,0.145,-21.424,1,The Fault in Our Stars,65,2013-05-05,0.109,74.85
0.285,2008,0.0218,Taylor Swift,0.621,234747,0.63,0,1JR0kZfJpeNPJKo4HhdQJP,6e-05,2,0.22,-5.412,1,Love Story,0,2008-09-12,0.0288,119.053
0.476,2017,0.64,Sam Smith,0.681,201000,0.372,0,3VlbOrM6nYPprVvzBZllE5,0,5,0.169,-8.237,1,Too Good At Goodbyes,73,2017-11-03,0.0432,91.873
0.304,2020,0.196,AJ Wander,0.626,188395,0.53,0,08e9dUkEQMYCrtvoeZhqhP,2.12e-06,7,0.119,-9.095,1,Time Out,49,2020-11-05,0.0659,150.002
0.387,2021,0.476,Vwillz,0.64,224390,0.424,1,1Q7HO1L7KO46VlMH8C3Abh,0,2,0.0851,-11.221,1,She's Gone,51,2021-01-29,0.0378,123.006
0.412,2018,0.855,Michael Schulte,0.461,194547,0.29,0,60wa5J6SkXtBXHySQ3PoNB,0,1,0.103,-7.999,1,The Love You Left Behind,58,2018-12-14,0.0349,144.739
0.389,2020,0.897,WYLDE,0.326,135485,0.445,0,7AQZiIh2HMDwqGm9AQy96k,0.00631,7,0.101,-9.797,0,Island,53,2020-11-20,0.0905,179.677
0.214,2016,0.42,Ariana Grande,0.633,202360,0.412,0,4TZdeM7zelZGz6JPrXSEZ1,3.57e-06,9,0.048,-7.339,1,Moonlight,53,2016-05-20,0.0284,102.215
0.347,2017,0.183,Bea Miller,0.426,185440,0.445,0,1BSAmxkrz2H8v5kpTfAT6v,0,6,0.661,-5.776,0,like that,58,2017-06-02,0.169,56.966
0.234,2020,0.776,Tate Brusa,0.573,271286,0.303,0,16u0ZLBYb1eQiPtt32QMU0,0.000243,1,0.0745,-11.68,1,Not Me That You're Thinking 'Bout,48,2020-11-21,0.0457,140.175
0.373,2021,0.665,Munn,0.543,137532,0.511,0,4pVqrsykRGIyicylgR2gIx,0,1,0.302,-7.867,1,i hate you for this,55,2021-02-11,0.123,80.643
0.18,2016,0.687,gnash,0.492,251034,0.275,1,7vRriwrloYVaoAe3a9wJHe,0,6,0.101,-13.4,0,i hate u i love u (feat. olivia o'brien),79,2016-03-25,0.3,92.6
0.338,2014,0.879,Various Artists,0.497,200560,0.259,0,6yaHCAtl9kA0K3FMumR2ph,0,7,0.102,-9.782,1,Heart Like Yours,0,2014-08-19,0.033,140.117
0.462,2013,0.126,Tori Kelly,0.627,197847,0.592,0,2wWboDFZJPWXVNlHUbdSVQ,0,6,0.111,-5.977,1,Dear No One,68,2013-01-01,0.314,167.882
0.257,2018,0.95,Rothwell,0.492,227077,0.189,0,55Fs8h2Ui6YQZEFNaM7MdC,0,6,0.266,-6.545,1,Darling,54,2018-12-12,0.0395,128.176
0.392,2017,0.896,Sofia Karlberg,0.306,187795,0.248,0,1ophi6jCPs6FkGgUFYmhfQ,0,1,0.104,-11.211,1,Lonely Together,47,2017-10-27,0.0596,74.374
0.24,2014,0.0102,Various Artists,0.436,234987,0.562,0,3SZLtkoHoECHHuOnNkNCuS,0.000278,11,0.198,-6.106,1,All of the Stars,67,2014-05-19,0.0278,150.066
0.348,2015,0.965,Ruth B.,0.71,275280,0.0565,0,4h0zU3O9R5xzuTmNO7dNDU,0,7,0.0889,-15.099,1,Lost Boy,75,2015-08-21,0.0534,123.994
0.366,2019,0.847,Thomas Daniel,0.538,221170,0.162,0,4iObEYRE4FLm0D90gmZFef,0,5,0.114,-13.31,1,Since U Been Gone - Acoustic Version,54,2019-08-23,0.0299,94.981
0.322,2018,0.531,Maisie Peters,0.34,199142,0.288,0,37a0RMpwwQjgIkLoEePwXa,0,4,0.134,-7.937,1,Best I'll Ever Sing,58,2018-07-20,0.0321,89.033
0.429,2018,0.0524,Shawn Mendes,0.628,211600,0.715,0,79jX8RM5CgPqDKdGEKNW9K,0,5,0.119,-7.097,1,In My Blood,0,2018-03-22,0.0541,139.991
0.157,2020,0.299,Katelyn Tarver,0.492,221944,0.347,1,2lKVd2seyW6OUlMtdPaG5H,0,1,0.155,-7.513,0,Dionne,49,2020-12-18,0.0399,149.913
0.219,2014,0.964,Birdy,0.405,189475,0.111,0,5sF7hdYvhrcgNq8NZjfK8L,4.37e-05,0,0.0872,-11.879,1,Not About Angels,73,2014-04-13,0.0369,116.86
0.276,2021,0.943,JC Stewart,0.448,218293,0.247,0,7e5HVLu9xSydLebKSqBebM,3.61e-05,6,0.109,-10.454,0,Break My Heart - Piano Acoustic,58,2021-02-12,0.0466,134.5
0.476,2011,0.337,Various Artists,0.576,257720,0.835,0,0RUGuh2uSNFJpGMSsD1F5C,0,2,0.082,-6.826,1,It Will Rain,70,2011-11-04,0.0486,150.017
0.306,2018,0.317,Lady Gaga,0.553,210200,0.506,0,1koJk8rrMBlhDZ8MNiLzH9,0,0,0.763,-5.967,1,Always Remember Us This Way,61,2018-10-05,0.0411,130.027
0.358,2020,0.846,Wild Rivers,0.684,184065,0.173,0,3UOvd4bfGqepCVx4EJLy57,0,5,0.162,-13.535,1,Thinking 'Bout Love - Acoustic,41,2020-08-14,0.0595,137.742
0.233,2018,0.133,Fudasca,0.462,160021,0.217,0,6MjDnmBgbCu2UfDK0DRczh,0.0401,1,0.129,-15.251,1,I Wrote You a Letter,53,2018-11-23,0.0422,89.868
0.308,2019,0.91,Highland Peak,0.596,213098,0.2,0,72xTsTouZ5nBmASX8k1XCW,0.000183,0,0.0884,-10.424,0,Trampoline - Acoustic,54,2019-11-22,0.0305,107.893
0.177,2014,0.0509,Shawn Mendes,0.662,214120,0.612,0,6L6ra9mTlyQPmh7zGw58y1,0,10,0.0948,-4.993,1,Life Of The Party,0,2014-06-26,0.0311,113.95
0.174,2015,0.805,Andra Day,0.398,253342,0.316,0,0tV8pOpiNsKqUys0ilUcXz,0,1,0.295,-7.031,1,Rise Up,74,2015-08-28,0.0368,118.582
0.22,2018,0.915,Cyn,0.604,219268,0.277,0,71HEg3bYLyMAxHuJ3a6KIM,1.82e-05,2,0.113,-8.249,1,I’ll Still Have Me,54,2018-09-21,0.0286,82.922
0.387,2012,0.932,Bruno Mars,0.612,213827,0.28,0,0nJW01T7XtvILxQgC5J7Wh,0,0,0.088,-8.648,1,When I Was Your Man,84,2012-12-07,0.0434,72.795
0.381,2020,0.12,Scarypoolparty,0.508,288192,0.482,0,2esqfaQ1qUwVQB4bl5Vc70,0.283,1,0.0595,-11.571,1,Return2Sender,51,2020-08-28,0.0316,157.951
0.266,2019,0.949,Peter Manos,0.628,164947,0.187,0,2rPe95TgVgmyQokYu1FQ2K,0.0513,1,0.0886,-16.576,1,Out of Love,0,2019-01-21,0.0427,120.063
0.279,2014,0.677,Natalie Taylor,0.609,178125,0.501,0,2w8C5MDcyUkUvbpQsfuGoN,0.000861,8,0.0943,-6.708,1,Latch,22,2014-07-01,0.028,103.977
0.274,2014,0.957,Amber Run,0.386,259480,0.0887,0,3i7Iyc932rv1AZz7gl7dj8,0,7,0.126,-11.166,0,I Found - Acoustic,60,2014-09-21,0.0512,171.234
0.201,2014,0.607,Ed Sheeran,0.614,258987,0.379,0,5tIJb0C5rIbiDijHl41byE,0.000464,4,0.0986,-10.48,1,Photograph,0,2014-06-20,0.0476,107.989
0.161,2017,0.446,Lady A,0.333,226907,0.423,0,6OlKfS9U1bnNuk1LLJo7aL,0,0,0.109,-6.704,1,Hurt,0,2017-06-09,0.0351,150.447
0.232,2018,0.112,Gabrielle Aplin,0.299,260693,0.369,0,2GC4425uv5kHJzTueFnzlW,0.000763,5,0.0892,-8.665,1,December,44,2018-12-04,0.0317,138.885
0.29,2020,0.924,Kevin Paris,0.524,286250,0.147,0,38YUiPZdeg1DDX8d6eV5Gi,0.000149,8,0.111,-15.185,1,Loneliness,49,2020-07-23,0.0408,144.057
0.274,2021,0.931,Route 94,0.744,197025,0.159,0,2caArnpeWW955oZL6rxgbd,1.56e-06,5,0.0911,-6.593,0,Sad Songs (feat. L Devine) - Stripped,51,2021-01-08,0.0311,100.016
