valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.529,2013,0.522,Magnus Öström,0.487,335560,0.609,0,36FSengmFZRJNe0xaY1GGA,0.861,10,0.12,-14.573,0,Happy and the Fall,33,2013-08-30,0.0271,91.677
0.46,2015,0.672,Aaron Goldberg,0.471,317440,0.34,0,1L4JlMb7e6bV20nHjxuVg9,0.753,0,0.12,-18.042,1,Perhaps,0,2015-01-20,0.0405,99.424
0.722,2020,0.21,Bobby Watson,0.481,428333,0.678,0,0RpoxmvBTYAE1wvAliVzjK,0.00957,0,0.0869,-8.01,1,Keepin' It Real,36,2020-06-04,0.0329,131.755
0.237,2020,0.0992,William Soovik Grand Finale,0.256,273419,0.516,0,42ZlXHwEqXy9ezOEkd3wOx,0.746,7,0.373,-9.296,1,Hampus & Anna,35,2020-06-15,0.0335,101.305
0.406,1987,0.098,Charlie Haden,0.616,282373,0.253,0,4on3eMnc3jPhCUgBfG694n,4.97e-05,7,0.252,-19.339,1,The Good Life,38,1987-01-01,0.0662,110.425
0.571,2002,0.582,Horace Silver,0.616,388160,0.33,0,6QzARXbdztTRu42kQigY96,0,7,0.122,-12.076,0,Home Cookin' - Remastered 1999/Rudy Van Gelder Edition,37,2002-01-01,0.0469,143.57
0.766,1957,0.619,Stan Getz,0.479,219267,0.495,0,4SK4XpzqomNOm2RkscCk5D,7.93e-05,0,0.203,-11.239,1,Anything Goes,27,1957-11-01,0.042,131.647
0.948,1955,0.604,Clifford Brown,0.552,203973,0.69,0,4XcLH3IOkmdqFriZJW2HEU,0.0976,2,0.24,-9.203,0,If I Love Again,25,1955-01-01,0.045,128.789
0.764,1987,0.712,Stanley Turrentine,0.451,372600,0.414,0,377ALnPexo1VGmD8dqHRXl,9.33e-05,3,0.0821,-10.857,1,Stolen Sweets,34,1987-10-02,0.0355,165.617
0.584,2021,0.181,Justin Bieber,0.686,190779,0.538,0,31qCy5ZaophVA81wtlwLc4,3.13e-06,2,0.113,-8.026,1,Anyone,83,2021-01-01,0.0345,115.884
0.637,2021,0.00226,Marshmello,0.721,154983,0.738,0,4qu63nuBpdn0qHUHuObEj1,4.41e-06,7,0.118,-4.77,1,Leave Before You Love Me (with Jonas Brothers),88,2021-05-21,0.0403,119.976
0.507,2020,0.0449,Gryffin,0.497,205165,0.757,0,6Skh3CBum0pZw9TOr7FQnX,0,11,0.119,-4.189,1,Safe With Me (with Audrey Mika),75,2020-11-19,0.127,169.902
0.507,2020,0.344,Kygo,0.58,199549,0.586,0,7xbWAw3LMgRMn4omR5yVn3,0,1,0.0755,-6.883,1,Lose Somebody,77,2020-05-15,0.0357,147.988
0.591,2021,0.0469,Ed Sheeran,0.808,231041,0.897,0,6PQ88X9TkUIAUIZJHW2upE,3.14e-05,11,0.364,-3.712,0,Bad Habits,82,2021-06-25,0.0348,126.026
0.488,2020,0.223,Tones And I,0.805,178157,0.515,0,1jgu8MFTEGdL1wjw9gZj5y,0,4,0.238,-6.201,1,Fly Away,66,2020-11-13,0.0915,124.969
0.305,2021,0.0493,benny blanco,0.668,169632,0.563,0,1GkHyypTFkUf0QQKwYoXH4,0,11,0.119,-6.433,1,You (with Marshmello & Vance Joy),75,2021-01-29,0.0522,103.116
0.239,2020,0.0301,Niall Horan,0.443,193090,0.582,0,7rpNuuoMbid56XkDsx2FjE,0,2,0.127,-6.02,1,Black And White,77,2020-03-13,0.0482,147.589
0.281,2020,0.0561,Alesso,0.587,220141,0.648,0,4ZTTUAjJCd4NMZmIU7RB4c,0,11,0.115,-6.927,0,Midnight (feat. Liam Payne),76,2020-04-08,0.0439,144.028
0.756,2020,0.0805,Quinn XCII,0.581,206046,0.584,0,6SGG5AxHShqSYiV9fCWpZz,0,2,0.366,-4.928,1,Stay Next To Me (with Chelsea Cutler),72,2020-12-04,0.284,179.954
0.346,2021,0.057,Surfaces,0.695,213842,0.656,0,5Ne1q9Hv3l2NHBA3Agt8WT,0,1,0.267,-6.038,1,Wave of You,78,2021-04-09,0.0489,90.986
0.452,2020,0.00776,Marshmello,0.63,172762,0.633,0,3Z8FwOEN59mRMxDCtb8N0A,0,4,0.0541,-7.088,1,Be Kind (with Halsey),82,2020-05-01,0.0457,93.995
0.66,2021,0.235,Dan + Shay,0.748,144533,0.551,0,472vIK1ldetTxRxG3ovaiY,0,11,0.119,-6.12,1,Glad You Exist,80,2021-02-05,0.0349,103.953
0.915,2020,0.00883,Dua Lipa,0.702,203064,0.825,0,463CkQjx2Zk1yXoBuierM9,0,6,0.0674,-3.787,0,Levitating (feat. DaBaby),92,2020-10-01,0.0601,102.977
0.596,2020,0.00575,Lauv,0.862,186613,0.4,1,0ycFQvBTfuo1LCdG0HhszL,7.49e-06,4,0.123,-7.486,1,Tattoos Together,0,2020-01-16,0.0736,122.963
0.557,2019,0.122,Harry Styles,0.548,174000,0.816,0,6UelLqGlWMcVH1E5c4H7lY,0,0,0.335,-4.209,1,Watermelon Sugar,91,2019-12-13,0.0465,95.39
0.372,2020,0.196,Justin Bieber,0.673,212093,0.704,0,5u1n1kITHCxxp8twBcZxWy,0,6,0.0898,-8.056,1,Holy (feat. Chance The Rapper),83,2020-09-18,0.36,86.919
0.263,2020,0.0172,Marshmello,0.743,159863,0.837,0,0zzVTGyRrWpQu8Fr28NRAv,0,1,0.0743,-5.025,0,OK Not To Be OK,78,2020-09-10,0.0649,103.072
0.483,2020,0.197,Sigala,0.676,218359,0.786,0,0DmAvNCAK08oCi7miSZUIY,0,1,0.0943,-4.529,1,Lasting Lover,81,2020-09-04,0.0478,125.983
