valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.409,2017,0.0428,Fat Joe,0.414,191901,0.807,1,7Ezwtgfw7khBrpvaNPtMoT,0,10,0.822,-4.12,0,All The Way Up,65,2017-02-17,0.348,175.158
0.432,2020,0.00576,Saweetie,0.954,139413,0.696,1,4Hpib09wXgD84w4uwTPnYD,0.000498,10,0.0754,-7.117,0,Tap In,76,2020-06-17,0.204,100.036
0.165,2020,0.38,Oceans Ahead,0.652,166211,0.559,0,5lqyq2BhSjFZUp8bTsJBlx,1.27e-06,4,0.131,-5.683,0,Falling,46,2020-04-17,0.104,83.914
0.715,2020,0.424,salem ilese,0.738,136839,0.621,0,7aGyRfJWtLqgJaZoG9lJhE,7.39e-06,0,0.692,-7.313,1,Mad at Disney,78,2020-07-24,0.0486,113.968
0.0736,2020,0.695,Joji,0.484,214558,0.632,0,7AoeZsOn7vyWUL6p8TEHf8,0.0243,5,0.209,-6.917,1,Gimme Love,58,2020-04-10,0.0976,126.384
0.606,2020,0.0108,Flo Grell,0.796,212459,0.574,0,4jwrDYZ22n9TzY7Nywrshs,0.0176,11,0.562,-8.935,0,keep it up,0,2020-11-20,0.161,122.04
0.348,2020,0.731,Powfu,0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0,8,0.696,-8.765,0,death bed (coffee for your head),86,2020-02-08,0.135,144.026
0.575,2004,0.214,Eamon,0.828,225107,0.653,1,1p5kC161fWMA2QlwV3Vi4W,3.25e-06,0,0.0404,-6.245,0,Fuck It (I Don't Want You Back),65,2004-01-23,0.0653,68.507
0.84,2009,0.0271,Lily Allen,0.775,219893,0.904,1,1GCbc1vpkZA2zhjsSFhmHT,0.000303,1,0.06,-4.08,0,Fuck You,59,2009-01-26,0.0437,130.009
0.266,2021,0.00867,Jennah,0.462,262385,0.489,0,6yvdwBHSI9e21G6nhUrYZq,0,9,0.129,-11.004,0,Burn,14,2021-03-26,0.0258,77.98
0.0612,2005,0.00868,Eminem,0.692,326467,0.744,1,5Z01UMMf7V1o0MzF86s6WJ,0.000423,2,0.359,-4.565,1,Lose Yourself - From "8 Mile" Soundtrack,76,2005-12-06,0.257,171.374
0.662,2002,0.00286,Eminem,0.908,290320,0.669,1,7lQ8MOhq6IN2w8EYcFNSUk,0,7,0.237,-2.827,1,Without Me,84,2002-05-26,0.0738,112.238
0.1,2002,0.0622,Eminem,0.548,297787,0.847,1,4xkOaSrkexMciUUogZKVTS,0,1,0.0816,-3.237,1,'Till I Collapse,84,2002-05-26,0.186,171.447
0.674,2013,0.0261,Eminem,0.727,238653,0.873,1,3dkKXwgAmYTf2TwYds2E12,0,2,0.246,-4.071,1,Berzerk,0,2013-01-01,0.338,95.122
0.525,2014,0.328,Eminem,0.655,300387,0.859,1,0VZs2OQq4axr8GFRdC9nyD,0,10,0.248,-4.277,0,Guts Over Fear,53,2014-08-25,0.221,140.049
0.623,2013,0.0556,Eminem,0.785,250907,0.86,1,72gGeQ0dZ7E8RlBeNJNJkb,0,9,0.0675,-3.642,1,The Monster,0,2013-01-01,0.0794,110.048
0.338,2010,0.0133,Eminem,0.478,265907,0.951,1,7kNlRLC9PEH8nXMVawssMx,2.21e-06,2,0.0533,-2.347,1,Won't Back Down,60,2010-06-18,0.19,179.978
0.668,2010,0.529,Eminem,0.855,248133,0.954,1,7Ie9W94M7OjPoZVV216Xus,0,0,0.205,-1.19,0,Not Afraid,79,2010-06-18,0.264,114.635
0.362,2010,0.239,Eminem,0.701,241587,0.931,1,0dyWQoMOU9oERL6c9vxtRp,0,8,0.194,-0.945,0,25 To Life,63,2010-06-18,0.243,79.996
0.74,2010,0.34,Eminem,0.857,194440,0.841,1,44ut2KJnt0HQMnUaMlDv9W,0,11,0.161,-2.839,1,Untitled,54,2010-06-18,0.103,112.023
0.534,2013,0.276,Eminem,0.664,296269,0.899,1,1mavQ4WCzXSeL2Dm5DS4GQ,0,9,0.197,-3.711,0,Legacy,62,2013-11-05,0.474,164.125
0.625,2013,0.397,Eminem,0.708,363521,0.843,1,6or1bKJiZ06IlK0vFvY75k,0,7,0.799,-2.66,1,Rap God,77,2013-11-05,0.314,148.14
0.185,2002,0.0017,Eminem,0.668,339547,0.824,1,3CpoeW0cZSDzIRv5z34F87,3.05e-06,5,0.0426,-4.164,0,Sing For The Moment,72,2002-05-26,0.137,163.961
0.4,2005,0.0211,Eminem,0.684,295667,0.772,1,3Q0mJByJRrUTZGrBFYnfCP,0.000464,8,0.0948,-3.443,0,Like Toy Soldiers,55,2005-12-06,0.275,82.202
0.641,2010,0.241,Eminem,0.749,263373,0.925,1,15JINEqzVMv3SvJTAXAKED,0,10,0.52,-5.034,1,Love The Way You Lie,82,2010-06-18,0.227,86.989
0.757,2005,0.0537,Eminem,0.619,281133,0.746,1,42YNobZ4HN3tRVEA47wLT6,0,10,0.295,-5.479,0,When I'm Gone,62,2005-12-06,0.36,149.944
